date,open,high,low,close,volume,num_trades
2024-12-17 05:00:00,49.9,49.983,49.3239,49.7106,22424,846
2024-12-18 05:00:00,49.73,50.21,47.49,47.49,19708,937
2024-12-19 05:00:00,48.67,48.67,47.09,47.19,18741,638
2024-12-20 05:00:00,46.59,48.32,46.4688,47.5,18560,533
2024-12-23 05:00:00,48.01,48.05,47.14,47.84,14188,504
2024-12-24 05:00:00,48.2994,49.29,48.28,49.225,6667,212
2024-12-26 05:00:00,49.17,49.17,48.4009,48.56,15942,433
2024-12-27 05:00:00,48.66,48.66,47.1638,47.52,14095,540
2024-12-30 05:00:00,46.7,46.7,45.72,46.11,21688,600
2024-12-31 05:00:00,46.87,46.87,45.0166,45.19,11441,432
2025-01-02 05:00:00,45.53,45.76,44.76,45.26,8918,407
2025-01-03 05:00:00,45.8082,46.97,45.78,46.95,7265,272
2025-01-06 05:00:00,47.71,48.27,47.2977,48.12,29463,522
2025-01-07 05:00:00,47.92,48.03,46.03,46.35,21230,560
2025-01-08 05:00:00,46.02,46.1,45.16,45.84,21117,347
2025-01-10 05:00:00,45.7,45.89,44.58,45.54,9111,347
2025-01-13 05:00:00,44.45,45.35,44.16,45.35,8290,357
2025-01-14 05:00:00,46.06,46.08,45.19,45.42,6798,200
2025-01-15 05:00:00,46.57,47.34,46.57,47.22,10875,230
2025-01-16 05:00:00,46.92,47.44,46.73,47.23,5085,192
2025-01-17 05:00:00,47.9839,48.4297,47.905,48.21,11388,326
2025-01-21 05:00:00,48.71,48.71,46.92,48.34,56720,918
2025-01-22 05:00:00,49.04,49.28,48.5,48.69,214242,2877
2025-01-23 05:00:00,46.36,47.1392,46.23,46.78,55799,1211
2025-01-24 05:00:00,47.12,47.21,46.38,46.48,59689,1066
2025-01-27 05:00:00,44.96,46.22,44.617,45.8,45932,1011
2025-01-28 05:00:00,45.9,46.0485,45.28,45.83,28416,465
2025-01-29 05:00:00,46.1,46.2,45.27,46.13,33226,472
2025-01-30 05:00:00,46.87,47.09,46.55,46.73,19632,391
2025-01-31 05:00:00,47.01,47.4388,46.4,46.51,22696,521
2025-02-03 05:00:00,44.92,46.5452,44.83,46.35,31905,611
2025-02-04 05:00:00,46.33,46.82,46.33,46.61,20082,333
2025-02-05 05:00:00,46.75,46.8084,46.1,46.1,13060,386
2025-02-06 05:00:00,46.32,46.32,45.5018,45.95,23593,431
2025-02-07 05:00:00,46.78,46.78,45.88,45.88,27429,448
2025-02-10 05:00:00,46.25,46.5888,45.97,46.17,15654,384
2025-02-11 05:00:00,46.07,46.07,45.05,45.15,12475,495
2025-02-12 05:00:00,44.97,45.946,44.9618,45.9,17947,372
2025-02-13 05:00:00,46.12,46.88,46.12,46.88,21659,365
2025-02-14 05:00:00,46.85,46.9799,46.4456,46.8,34435,662
2025-02-18 05:00:00,47.06,47.06,45.73,46.15,52738,1163
2025-02-19 05:00:00,46.3,46.3,45.635,45.72,166488,2309
2025-02-20 05:00:00,43.95,44.0299,43.2,43.57,45276,1134
2025-02-21 05:00:00,44.01,44.01,41.82,41.89,66000,1307
2025-02-24 05:00:00,42.13,42.13,40.4213,40.85,47493,871
2025-02-25 05:00:00,39.87,39.9,38.19,38.94,54348,836
2025-02-26 05:00:00,38.84,39.42,38.29,38.68,36726,551
2025-02-27 05:00:00,38.79,38.876,37.82,37.94,12834,381
2025-02-28 05:00:00,37.6,38.72,37.29,38.72,10874,373
2025-03-03 05:00:00,39.81,39.83,37.84,38.14,15896,437
2025-03-04 05:00:00,37.21,38.5105,36.3812,37.88,21325,464
2025-03-05 05:00:00,38.37,39.01,37.9566,39.01,11915,271
2025-03-06 05:00:00,38.36,38.69,37.2212,37.45,11522,316
2025-03-07 05:00:00,37.6487,37.6487,36.36,37.32,12922,366
2025-03-10 04:00:00,36.19,36.19,33.8,34.09,23412,594
2025-03-11 04:00:00,34.4,35.58,34.4,35.28,13972,244
2025-03-12 04:00:00,36.3,36.3,35.4679,36.15,7246,205
2025-03-13 04:00:00,36.05,36.05,34.65,34.77,10289,282
2025-03-14 04:00:00,35.6,35.98,35.33,35.96,27153,376
2025-03-17 04:00:00,35.96,36.29,35.62,36.09,28804,600
2025-03-18 04:00:00,35.21,35.2193,34.66,35.12,23086,457
2025-03-19 04:00:00,35.44,36.4486,35.2979,36.08,70595,559
2025-03-20 04:00:00,35.07,35.7889,33.49,35.34,31380,321
2025-03-21 04:00:00,34.91,35.657,34.91,35.63,27072,423
2025-03-24 04:00:00,36.29,36.99,36.2707,36.99,30259,390
2025-03-25 04:00:00,37.02,37.3746,36.8804,37.31,7221,212
2025-03-26 04:00:00,37.16,37.2458,36.69,36.87,13654,225
2025-03-27 04:00:00,36.7208,36.9873,36.7208,36.9,11596,152
2025-03-28 04:00:00,36.73,36.73,35.6786,35.69,17474,238
2025-03-31 04:00:00,35.45,35.86,34.93,35.86,8519,178
2025-04-01 04:00:00,35.71,36.18,35.65,36.04,4712,131
2025-04-02 04:00:00,36.25,36.44,36.1327,36.4,2387,161
2025-04-03 04:00:00,34.44,34.65,34.08,34.25,8539,257
2025-04-04 04:00:00,33.03,33.49,32.58,32.61,19516,335
2025-04-07 04:00:00,31.09,33.25,30.91,32.18,17406,248
2025-04-08 04:00:00,33.23,33.635,31.6155,31.92,6863,156
2025-04-09 04:00:00,32.2487,34.615,32.17,34.54,8549,177
2025-04-10 04:00:00,34.3147,34.3147,33.37,33.8,5418,183
2025-04-11 04:00:00,33.92,34.6031,33.92,34.58,4952,204
2025-04-14 04:00:00,35.42,35.42,34.6039,34.78,9710,249
2025-04-15 04:00:00,34.81,35.24,34.81,34.92,7198,184
2025-04-16 04:00:00,34.84,34.87,34.02,34.38,72504,920
2025-04-17 04:00:00,33.01,33.31,32.74,33.31,16082,311
2025-04-21 04:00:00,33.08,33.1868,32.53,32.86,33186,401
2025-04-22 04:00:00,33.28,33.9737,33.28,33.83,19342,244
2025-04-23 04:00:00,34.4701,34.6977,34.2701,34.4,16135,226
2025-04-24 04:00:00,34.45,34.89,34.45,34.5,13943,193
2025-04-25 04:00:00,34.88,35.075,34.88,35.03,8914,193
2025-04-28 04:00:00,35.11,35.2,34.8124,35.12,7727,246
2025-04-29 04:00:00,35.15,35.48,35.15,35.37,6599,200
2025-04-30 04:00:00,35.26,35.31,34.71,35.28,5639,208
2025-05-01 04:00:00,35.76,36.0913,35.75,35.89,10665,218
2025-05-02 04:00:00,36.2,36.2,35.83,36.13,10306,259
2025-05-05 04:00:00,35.72,35.8664,35.4709,35.75,5490,210
2025-05-06 04:00:00,35.5634,35.7588,35.4443,35.63,8037,189
2025-05-07 04:00:00,35.94,35.98,35.71,35.9,6418,157
2025-05-08 04:00:00,36.17,36.45,35.9811,36.18,4844,204
2025-05-09 04:00:00,36.26,36.499,36.14,36.28,28186,396
2025-05-12 04:00:00,37.1,37.1,36.57,36.75,49645,623
2025-05-13 04:00:00,37.96,37.96,36.86,37.32,28845,437
2025-05-14 04:00:00,37.53,37.53,37.17,37.38,96100,1050
2025-05-15 04:00:00,36.75,36.75,35.62,35.9,24475,467
2025-05-16 04:00:00,35.77,36.1399,35.69,36.05,29427,524
2025-05-19 04:00:00,35.6,36.05,35.55,35.93,61246,551
2025-05-20 04:00:00,35.93,36.0375,35.74,35.96,11795,289
2025-05-21 04:00:00,35.98,36.1852,35.6014,35.86,23732,378
2025-05-22 04:00:00,35.86,36.13,35.74,35.96,8930,224
2025-05-23 04:00:00,35.5,35.7599,35.46,35.46,5415,235
2025-05-27 04:00:00,35.91,36.19,35.79,36.19,13115,310
2025-05-28 04:00:00,36.1,36.1,35.8904,35.97,3448,179
2025-05-29 04:00:00,35.973,36.01,35.68,35.83,5635,221
2025-05-30 04:00:00,35.74,35.97,35.5,35.97,8379,249
2025-06-02 04:00:00,35.89,36.18,35.845,36.18,8336,242
2025-06-03 04:00:00,36.15,36.4525,36.13,36.26,13519,268
2025-06-04 04:00:00,36.36,36.5281,36.33,36.45,5131,176
2025-06-05 04:00:00,36.6585,36.6585,36.0401,36.2,11023,302
2025-06-06 04:00:00,36.6028,36.6608,36.4,36.57,10476,324
2025-06-09 04:00:00,36.84,36.84,36.64,36.68,37700,585
2025-06-10 04:00:00,36.87,36.87,36.4263,36.7,26791,468
2025-06-11 04:00:00,36.73,36.8695,36.5,36.67,47983,680
2025-06-12 04:00:00,35.55,35.57,35.3424,35.5,27859,516
2025-06-13 04:00:00,35.02,35.3199,34.86,35.02,22253,545
2025-06-16 04:00:00,35.35,35.64,35.28,35.53,25115,423
2025-06-17 04:00:00,35.26,35.49,35.1203,35.33,12399,295
2025-06-18 04:00:00,35.25,35.5478,35.15,35.23,9609,206
2025-06-20 04:00:00,35.38,35.87,35.2536,35.41,7852,242
2025-06-23 04:00:00,35.43,35.76,35.18,35.76,7636,238
2025-06-24 04:00:00,36.02,36.1,35.9516,35.98,8197,235
2025-06-25 04:00:00,36.4,36.4,36.06,36.26,54186,334
2025-06-26 04:00:00,36.49,36.69,36.4495,36.69,6364,245
2025-06-27 04:00:00,36.55,36.75,36.4557,36.57,23821,252
2025-06-30 04:00:00,36.76,37.4283,36.76,37.36,18796,347
2025-07-01 04:00:00,37.47,37.6097,36.7,36.99,11431,281
2025-07-02 04:00:00,37.06,37.64,37.06,37.48,6368,227
2025-07-03 04:00:00,37.3434,37.48,37.14,37.48,36449,284
2025-07-07 04:00:00,37.39,37.4359,37.05,37.31,18384,519
2025-07-08 04:00:00,37.48,37.48,36.6765,36.78,20184,534
2025-07-09 04:00:00,37.23,37.495,37.0,37.48,241645,2066
2025-07-10 04:00:00,36.0,36.27,35.7,36.27,78854,876
2025-07-11 04:00:00,36.16,36.41,36.11,36.17,60536,756
2025-07-14 04:00:00,36.41,36.7802,36.41,36.63,69029,581
2025-07-15 04:00:00,36.48,36.55,36.2944,36.4,41979,565
2025-07-16 04:00:00,36.47,36.8095,36.46,36.5603,42523,399
2025-07-17 04:00:00,36.56,36.9231,36.4808,36.9231,14576,297
2025-07-18 04:00:00,37.0,37.0,36.67,36.8025,16648,325
2025-07-21 04:00:00,37.02,37.0501,36.601,36.601,25312,446
2025-07-22 04:00:00,36.79,36.79,36.1199,36.3466,12100,302
2025-07-23 04:00:00,36.14,36.47,36.14,36.39,10775,265
2025-07-24 04:00:00,36.6,36.6,36.3,36.498,12532,269
2025-07-25 04:00:00,36.41,36.7084,36.29,36.5574,8097,289
