,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2013,29.64,,,,,,,,,,,
2014,19.26483471669258,9.72,,,,,,,,,,
2015,12.496368582620443,4.794440692242818,0.09,,,,,,,,,
2016,13.4525172222143,8.519014427576233,7.923460378177261,16.37,,,,,,,,
2017,16.237851162399664,13.109663496429924,14.262664579998031,22.08468208583745,28.08,,,,,,,
2018,12.641204762556924,9.518866366160129,9.4686405948867,12.786227415348318,11.035943729947206,-3.74,,,,,,
2019,14.33287807979966,11.963505720413892,12.417682025835486,15.729908681843629,15.51732827034986,9.705915063865177,25.03,,,,,
2020,13.72897104198283,11.621311868702255,11.941385100347013,14.475005676811303,14.006098506694054,9.66726309284538,17.05570340654059,9.59,,,,
2021,14.496902922861077,12.732874011239371,13.169985936054719,15.510471703399675,15.339329384013546,12.35733968243209,18.30051752689601,15.072845189471185,20.83,,,
2022,12.138132599552387,10.345571485180404,10.424018289362746,11.984952321376285,11.27034688160622,8.18301144732889,11.387733956559964,7.179505278870479,5.994213993028885,-7.02,,
2023,12.48559615104281,10.900295546035998,11.032220765814603,12.48155675515219,11.936774281775708,9.451411246152496,12.299149546331689,9.324380829200951,9.235984248392693,3.863081024972481,16.02,
2024,12.678303617438115,11.25103307770907,11.405306521051251,12.739013991092584,12.293180321702124,10.202703316368433,12.715414690983295,10.40204794648847,10.605998380182303,7.393990952506724,15.418440467717298,14.82
